Symbol,Name,Sector,Status,Entry Date,Exit Date,Entry Price,Exit Price,Direction,Weight,Size,PnL,Return
GENC,Gencor Industries Inc Common,Industrials,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,14.0,14.300000190734863,Long,0.05,1043.197929948933,312.95957795889444,0.021428585052490234
ESCA,Escalade Inc Common,Consumer Discretionary,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,13.840012550354004,14.03801155090332,Long,0.0249378435667595,526.3167120436717,104.21018295704926,0.014306273193679418
EML,Eastern Company Common,Industrials,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,22.81999969482422,23.049999237060547,Long,0.05,639.9987385888334,147.19941690725864,0.010078858252066206
EGAN,eGain Corp Common,Information Technology,Closed,2025-06-27T00:00:00.000,2025-07-01T00:00:00.000,6.210000038146973,6.800000190734863,Long,0.05,2295.324738494515,1354.2419459505236,0.09500807551749114
DSGN,Design Therapeutics Inc Common,Health Care,Closed,2025-06-27T00:00:00.000,2025-07-01T00:00:00.000,3.569999933242798,3.5199999809265137,Long,0.04878706116191059,3895.849629470926,-194.79229570495954,-0.014005589146010668
CPSS,Consumer Portfolio Services Inc Common,Financials,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,9.829999923706055,10.09000015258789,Long,0.05,1485.734601489076,386.2913364448232,0.0264496674363973
CLPR,Clipper Realty Inc Common,Real Estate,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,3.6700000762939453,3.7899999618530273,Long,0.05,3979.5015574041386,477.5397314706861,0.03269751582137868
BOLD,Boundless Bio Inc Common,Health Care,Closed,2025-06-27T00:00:00.000,2025-07-01T00:00:00.000,1.0099999904632568,1.059999942779541,Long,0.022700768204370947,6407.445493342614,320.37196913632033,0.04950490375089077
AKA,AKA Brands Holding Corp Common,Consumer Discretionary,Closed,2025-06-27T00:00:00.000,2025-07-01T00:00:00.000,10.699999809265137,10.6899995803833,Long,0.02523896875547918,672.4400503539194,-6.72455441285183,-0.0009346008467379384
VABK,Virginia National Bankshares Corp Common,Financials,Closed,2025-06-27T00:00:00.000,2025-06-30T00:00:00.000,36.619998931884766,37.0,Long,0.05,389.2399543791303,147.9115984171949,0.010376872725257535
